survived,pclass,sex,age,sibsp,parch,fare,class,who,adult_male,deck,embark_town,alive,alone,embarked_Q,embarked_S
0,3,0,-0.5657364610748746,1,0,-0.5024451714361923,Third,man,True,,Southampton,no,False,False,True
1,1,1,0.6638610320657843,1,0,0.7868452935884461,First,woman,False,C,Cherbourg,yes,False,False,False
1,3,1,-0.2583370877897099,0,0,-0.4888542575852486,Third,woman,False,,Southampton,yes,True,False,True
1,1,1,0.4333115021019107,1,0,0.4207302360686478,First,woman,False,C,Southampton,yes,False,False,True
0,3,0,0.4333115021019107,0,0,-0.4863374216869257,Third,man,True,,Southampton,no,True,False,True
0,3,0,-0.10463740114712752,0,0,-0.47811642890864375,Third,man,True,,Queenstown,no,True,True,False
0,1,0,1.893458525206443,0,0,0.395813560675251,First,man,True,E,Southampton,no,True,False,True
0,3,0,-2.1027333275006983,3,1,-0.22408312108167944,Third,child,False,,Southampton,no,False,False,True
1,3,1,-0.1814872444684187,0,2,-0.4242561406845337,Third,woman,False,,Southampton,yes,False,False,True
1,2,1,-1.180535207645204,1,0,-0.04295550208861426,Second,child,False,,Cherbourg,yes,False,False,False
1,3,1,-1.949033640858116,1,1,-0.312172377522981,Third,child,False,G,Southampton,yes,False,False,True
1,1,1,2.200857898491608,0,0,-0.11384570873513637,First,woman,False,C,Southampton,yes,True,False,True
0,3,0,-0.719436147717457,0,0,-0.4863374216869257,Third,man,True,,Southampton,no,True,False,True
0,3,0,0.7407108753870755,1,5,-0.01870931177853076,Third,man,True,,Southampton,no,False,False,True
0,3,1,-1.180535207645204,0,0,-0.4902797934380587,Third,child,False,,Southampton,no,True,False,True
1,2,1,1.9703083685277343,0,0,-0.3262666585535892,Second,woman,False,,Southampton,yes,True,False,True
0,3,0,-2.1027333275006983,4,1,-0.06199888922968463,Third,child,False,,Queenstown,no,False,True,False
1,2,0,-0.10463740114712752,0,0,-0.3866707201133388,Second,man,True,,Southampton,yes,True,False,True
0,3,1,0.12591212881674602,1,0,-0.2859972841804228,Third,woman,False,,Southampton,no,False,False,True
1,3,1,-0.10463740114712752,0,0,-0.5029485386158568,Third,woman,False,,Cherbourg,yes,True,False,False
0,2,0,0.4333115021019107,0,0,-0.12491978668775715,Second,man,True,,Southampton,no,True,False,True
1,2,0,0.35646165878061953,0,0,-0.3866707201133388,Second,man,True,D,Southampton,yes,True,False,True
1,3,1,-1.1036853643239128,0,0,-0.4867562231804066,Third,child,False,,Queenstown,yes,True,True,False
1,1,0,-0.10463740114712752,0,0,0.06635974158478332,First,man,True,A,Southampton,yes,True,False,True
0,3,1,-1.6416342675729512,3,1,-0.22408312108167944,Third,child,False,,Southampton,no,False,False,True
1,3,1,0.6638610320657843,1,5,-0.016444159470040135,Third,woman,False,,Southampton,yes,False,False,True
0,3,0,-0.10463740114712752,0,0,-0.5029485386158568,Third,man,True,,Cherbourg,no,True,False,False
0,1,0,-0.7962859910387481,3,2,4.647001076532463,First,man,True,C,Southampton,no,False,False,True
1,3,1,-0.10463740114712752,0,0,-0.48977642625839407,Third,woman,False,,Queenstown,yes,True,True,False
0,3,0,-0.10463740114712752,0,0,-0.4894421904510968,Third,man,True,,Southampton,no,True,False,True
